canonical	match_variants	file	type	thumbnail
(s), (es)	,(s),(es),	S.md	prohibit	Don't add "(s)" or "(es)" to a singular noun. Use plural or "one or more" instead.
.NET	,.net,dot net,	N.md	format	Always begin with a period. Don't spell out as "dot NET." Use "Microsoft .NET" on first mention.
machine	,machine,	M.md	clarify	See Computer and device term collection.
machine learning	,machine learning,	M.md	format	Lowercase in general; title-case only for named services like Machine Learning API.
main document	,main document,core document,	M.md	subst	Use "main document" for the unchanging material in a merged document, not "core document."
makefile	,makefile,	M.md	format	One word. Use only in content for a technical audience.
malicious code	,malicious code,	M.md	clarify	See Security term collection.
malicious user	,malicious user,	M.md	clarify	See Security term collection.
malware, malicious software	,malware,malicious software,	M.md	clarify	See Security term collection.
management information systems	,management information systems,mis,	M.md	clarify	Abbreviate as MIS. Most of the time, use IS for information systems instead.
manipulate	,manipulate,	M.md	subst	Use "work with," "handle," or "use" instead of "manipulate."
marquee	,marquee,	M.md	clarify	OK for scrolling text on webpages; don't use for dotted selection lines. Use "bounding outline" instead.
master/slave, master/subordinate	,master/slave,master/subordinate,master,slave,	M.md	subst	Don't use "master/slave." Use "primary/replica" or "primary/secondary" instead.
mathematical	,mathematical,mathematic,	M.md	format	Use "mathematical" instead of "mathematic."
matrix, matrices	,matrix,matrices,matrixes,	M.md	format	Use "matrices" not "matrixes" as the plural of "matrix."
Maximize button, maximize	,maximize button,maximize,maximize box,maximize icon,	M.md	format	Use "Maximize button" not "Maximize box" or "Maximize icon." OK to use "maximize" as a verb.
medium, media	,medium,media,	M.md	clarify	Use "medium" as singular; ensure verb agreement. Don't use "media" as short for "multimedia."
megabit, Mb, Mbit	,megabit,mb,mbit,	M.md	clarify	See Bits and bytes term collection.
megabits per second, Mbps	,megabits per second,mbps,	M.md	clarify	See Bits and bytes term collection.
megabyte, MB, meg, M, M byte, Mbyte	,megabyte,mb,meg,m byte,mbyte,	M.md	clarify	See Bits and bytes term collection.
megahertz, MHz	,megahertz,mhz,	M.md	clarify	See Units of measure term collection.
member function	,member function,	M.md	subst	Don't use if you can correctly use "method" instead.
