canonical	match_variants	file	type	thumbnail
24/7	,24/7,	NUMBERS-SYMBOLS.md	clarify	See Date and time term collection.
2D, two-dimensional	,2d,two-dimensional,	NUMBERS-SYMBOLS.md	format	Spell out on first mention if unfamiliar; use "2D" after. Always hyphenate "two-dimensional."
3D, three-dimensional	,3d,three-dimensional,	NUMBERS-SYMBOLS.md	format	Use "3D" most of the time. Spell out on first mention if unfamiliar. Always hyphenate.
8.5" x 11" paper	,8.5" x 11" paper,	NUMBERS-SYMBOLS.md	format	Use this exact form with straight quotes for inches and multiplication sign, not letter x.
@mentions	,@mentions,	NUMBERS-SYMBOLS.md	clarify	Feature using @ plus a person's name to draw attention in messages, comments, or calendar items.
tab	,tab,	T.md	clarify	Don't use as a verb; as a noun, use only for ribbon, webpage, or dialog box tabs.
table of contents	,table of contents,	T.md	subst	Use "Contents" as the heading, not "Table of contents."
tablet	,tablet,	T.md	clarify	See Computer and device term collection.
tap, double-tap, tap and hold	,tap,double-tap,tap and hold,	T.md	clarify	See Touch and pen interaction term collection.
target drive, target file	,target drive,target file,	T.md	subst	Use "destination drive" or "destination file," not "target drive" or "target file."
taskbar	,taskbar,	T.md	format	One word.
terabyte, TB	,terabyte,tb,	T.md	clarify	See Bits and bytes term collection.
terminate	,terminate,	T.md	conditional	Don't use as a synonym for close or exit; OK in technical content like "terminate a process."
text box	,text box,field,entry field,	T.md	subst	Use "box," not "field" or "entry field"; OK to use "text box" in developer content about UI.
text, text message	,text,text message,sms,mms,	T.md	subst	Use "text" or "text message," not "SMS" or "MMS," for US audiences.
thanks, thank you	,thanks,thank you,	T.md	clarify	Use "thanks" not "thank you" unless tone is formal; don't use unnecessarily.
that vs. which	,that,which,that vs. which,	T.md	clarify	Use "that" for essential clauses (no comma); use "which" for nonessential clauses (with comma).
thousand, K	,thousand,k,	T.md	clarify	See Numbers.
tile, Live Tile	,tile,live tile,	T.md	format	Lowercase "tile" in general use; capitalize "Live Tile" for the feature name.
time stamp	,time stamp,timestamp,	T.md	format	Two words.
timeout, time out	,timeout,time out,	T.md	format	One word as noun/adjective; two words ("time out") as a verb phrase.
to-do	,to-do,todo,	T.md	format	Always hyphenate as an adjective; don't use as a noun or capitalize.
toast	,toast,	T.md	subst	Use "notification," not "toast," for app or OS pop-up notifications.
toggle	,toggle,	T.md	clarify	Don't use as a verb; use "switch," "turn on," or "turn off" instead. OK as noun or adjective.
tone	,tone,	T.md	subst	Don't use for beeping sounds; use "beep" instead. OK for other sound contexts like "dial tone."
tool	,tool,utility,	T.md	subst	Use "tool," not "utility," to describe a feature that helps customers accomplish tasks.
toolkit	,toolkit,	T.md	format	One word.
top left, top right	,top left,top right,top-left,top-right,	T.md	subst	Don't use; use "upper left" and "upper right" instead.
top-level folder	,top-level folder,root directory,	T.md	conditional	Use "top-level folder" for general audiences; use "root directory" for developers.
touch-sensitive	,touch-sensitive,	T.md	format	Always hyphenate.
touchpad	,touchpad,	T.md	clarify	See Computer and device term collection.
touchscreen	,touchscreen,	T.md	clarify	See Computer and device term collection.
toward	,toward,towards,	T.md	subst	Use "toward," not "towards."
trackball	,trackball,	T.md	clarify	See Computer and device term collection.
trailing	,trailing,following,	T.md	subst	Use "trailing" instead of "following" for periods, slashes, and spaces at end of strings.
trojan horse, trojan	,trojan horse,trojan,	T.md	clarify	See Security term collection.
